Gene,Diseases
FOXL2,"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS, TYPE I; BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS, TYPE II; Blepharophimosis; Blepharophimosis, ptosis, and epicanthus inversus syndrome; Blepharophimosis, ptosis, and epicanthus inversus, type II with Duane retraction syndrome; Duane retraction syndrome; FOXL2-related disorder; Genetic non-acquired premature ovarian failure; Inborn genetic diseases; Premature ovarian failure 3; See cases"
FOXL2NB,NA
FOXP1,Anterior creases of earlobe; Aortic valve atresia; Atrial septal defect 1; Autism; Autism spectrum disorder; Cerebellar vermis hypoplasia; Congenital cerebellar hypoplasia; Congenital heart disease; Delayed speech and language development; Developmental disorder; Disorder of sexual differentiation; FOXP1-related disorder; FOXP1-related neurodevelopmental disorder; Familial atrioventricular septal defect; Glabellar hemangioma; Hypoplastic left heart syndrome 1; INTELLECTUAL DEVELOPMENTAL DISORDER WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES; Inborn genetic diseases; Intellectual disability; Intellectual disability-severe speech delay-mild dysmorphism syndrome; Mitral atresia disorder; Neurodevelopmental abnormality; Neurodevelopmental disorder; Pulmonary atresia with ventricular septal defect; Rare genetic intellectual disability; See cases; Seizure; Single Ventricle Defect; Strabismus; Visceral heterotaxy
FUBP1,Breast ductal adenocarcinoma
FYN,EBV-positive nodal T- and NK-cell lymphoma; Premature ovarian failure
GABRA6,Childhood absence epilepsy; GABRA6-related disorder
GATA1,"Acute megakaryoblastic leukemia; Acute megakaryoblastic leukemia in down syndrome; Anemia; Beta-thalassemia-X-linked thrombocytopenia syndrome; Cutaneous porphyria; Diamond-Blackfan anemia; Down syndrome; GATA binding protein 1 related thrombocytopenia with dyserythropoiesis; GATA1-related disorder; Hemolytic anemia due to erythrocyte adenosine deaminase overproduction; Inborn genetic diseases; LEUKEMIA, MEGAKARYOBLASTIC, OF DOWN SYNDROME, SOMATIC; Macrothrombocytopenia; Thrombocytopenia; Thrombocytopenia, X-linked, with dyserythropoietic anemia; Thrombocytopenia, X-linked, with or without dyserythropoietic anemia; Thrombocytopenia, X-linked, without dyserythropoietic anemia; Transient myeloproliferative syndrome; X-linked GATA1-related disorders; X-linked dyserythropoetic anemia with abnormal platelets and neutropenia"
GATA2,"Acute myeloid leukemia; Alveolar capillary dysplasia with pulmonary venous misalignment; Anemia; Deafness-lymphedema-leukemia syndrome; GATA2 deficiency with susceptibility to MDS/AML; GATA2-related disorder; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Increased risk to develop myelodysplastic syndrome, acute myeloid leukemia, or chronic myelomonocytic leukemia; Leukemia, acute myeloid, susceptibility to; Monocytopenia with susceptibility to infections; Myelodysplastic syndrome; Predisposition to myelodysplastic syndrome; Splenomegaly; multilineage dysplasia"
GATA2-AS1,NA
GATA3,"B-cell childhood acute lymphoblastic leukemia; Congenital anomaly of kidney and urinary tract; Deafness, autosomal dominant; Dominant congenital non-syndromic sensorineural hearing loss; Familial cancer of breast; GATA3-related disorder; Hearing impairment; Hypoparathyroidism, deafness, renal disease syndrome; Inborn genetic diseases; Monogenic hearing loss; Neurodevelopmental disorder; Ovarian neoplasm; See cases; Stage 5 chronic kidney disease"
GATA6,"Abnormal cardiovascular system morphology; Atrial septal defect 9; Atrioventricular septal defect 5; Atypical coarctation of aorta; Congenital diaphragmatic hernia; Conotruncal heart malformations; Developmental disorder; GATA6-related congenital heart disease with or without pancreatic agenesis or neonatal diabetes; GATA6-related disorder; Inborn genetic diseases; Monogenic diabetes; Neonatal insulin-dependent diabetes mellitus; Neutropenia, severe congenital, 8, autosomal dominant; Paediatric disorders; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome; Persistent truncus arteriosus; Primary dilated cardiomyopathy; Tetralogy of Fallot"
GID4,NA
GLDN,Aromatase deficiency; Arthrogryposis multiplex congenita; Breathing dysregulation; Congenital contracture; Fetal akinesia deformation sequence 1; Flexion contracture; GLDN-related disorder; Inborn genetic diseases; Lethal congenital contracture syndrome 11; Multiple joint contractures; Polyhydramnios
GLI1,"Bardet-Biedl syndrome; GLI1-related disorder; Polydactyly of a biphalangeal thumb; Polydactyly, postaxial, type A8; Premature ovarian failure; Prostate cancer"
GNA11,Autosomal dominant hypocalcemia 2; CLOVES syndrome; Capillary malformation; Familial hyperparathyroidism or Hypocalciuric hypercalcaemia; Familial hypocalciuric hypercalcemia 2; Familial hypoparathyroidism; Familial multiple nevi flammei; GNA11-related disorder; Inborn genetic diseases; Lobular capillary hemangiomas; Schwartz-Jampel syndrome type 1; See cases; Segmental undergrowth associated with capillary malformation; Vascular malformation; Venous malformation
GNAS,"ACTH-independent macronodular adrenal hyperplasia 1; Albright hereditary osteodystrophy, pseudohypoparathyroidism, pseudopseudohypoparathyroidism, acrodysostosis and osteoma cutis; Brachydactyly; Cognitive impairment; Cushing syndrome; Disorder of GNAS inactivation; Disorders of GNAS Inactivation; Duane retraction syndrome; Early onset severe obesity; GNAS-AS1-related condition; GNAS-associated disease; GNAS-related disorder; Hereditary spastic paraplegia 4; Hypocalcemia; Inborn genetic diseases; Intellectual disability; McCune-Albright syndrome; Obesity; PHP Type 1a / PPHP; PITUITARY TUMOR 3, GROWTH HORMONE-SECRETING, SOMATIC; PSEUDOHYPOPARATHYROIDISM, TYPE IA, WITH TESTOTOXICOSIS; Pituitary adenoma 3, multiple types; Polyostotic fibrous dysplasia, somatic, mosaic; Progressive osseous heteroplasia; Pseudohypoparathyroidism; Pseudohypoparathyroidism type 1B; Pseudohypoparathyroidism type 1C; Pseudohypoparathyroidism type I A; Pseudopseudohypoparathyroidism; Round face; See cases; Severe early-onset obesity, Albright hereditary osteodystrophy, pseudohypoparathyroidism, pseudopseudohypoparathyroidism, acrodysostosis and osteoma cutis; Sex cord-stromal tumor; Short stature; Skeletal dysplasia; Somatotroph adenoma; Subcutaneous nodule; Tetany"
GNAS-AS1,NA
GPSM3,NA
GPT,GPT POLYMORPHISM
GRIN2A,"Abnormal cerebral morphology; CTCF-related neurodevelopmental disorder; Complex neurodevelopmental disorder; Dystonia, intellectual disability and language impairment; Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation; Epilepsy; Epilepsy, familial temporal lobe, 1; Epileptic encephalopathy; Focal epilepsy; GRIN2A-Related Disorders; GRIN2A-Related Speech Disorders and Epilepsy; GRIN2A-related Movement disorder; GRIN2A-related complex neurodevelopmental disorder; Global developmental delay; History of neurodevelopmental disorder; Inborn genetic diseases; Intellectual disability; Landau-Kleffner syndrome; Microcephaly; Neurodevelopmental abnormality; Neurodevelopmental disorder; Pyridoxine-dependent epilepsy; See cases; Seizure; Self-limited epilepsy with centrotemporal spikes; Vascular dementia"
GRM3,EBV-positive nodal T- and NK-cell lymphoma
GSTP1,"Abnormality of immune system physiology; Kala-azar susceptibility 2; Pulmonary disease, chronic obstructive, susceptibility to"
GSTT1,NA
H3F3A,NA
H3F3C,NA
HCK,Autoinflammation with pulmonary and cutaneous vasculitis; HCK-related condition
HGF,Autosomal recessive nonsyndromic hearing loss 39; HGF-related disorder; Hearing impairment; Sensorineural hearing loss disorder
HIST1H1C,NA
HIST1H2AB,NA
HIST1H2BB,NA
HIST1H2BH,NA
HIST1H2BI,NA
HIST1H3B,NA
HIST1H3C,NA
HIST1H3F,NA
HIST1H3G,NA
HIST1H4B,NA
HIST1H4G,NA
HIST3H3,NA
HLA-A,Abnormality of neuronal migration; Carbamazepine hypersensitivity; EBV-positive nodal T- and NK-cell lymphoma; HLA-A-related condition; Susceptibility to severe COVID-19; Susceptibility to severe cutaneous adverse reaction
HNF1A,"Breast carcinoma; Chromophobe renal cell carcinoma; Clear cell carcinoma of kidney; DiGeorge syndrome; Diabetes mellitus; Diabetes mellitus type 1; Diabetes mellitus type 2, susceptibility to; Gestational diabetes; HNF1A-related disorder; HNF1A-related disorders; Hepatic adenomas, familial; Hereditary breast ovarian cancer syndrome; Hyperinsulinism due to HNF1A deficiency; Insulin resistance, susceptibility to; Insulin-resistant diabetes mellitus; Keratoderma-ichthyosis-deafness syndrome, autosomal recessive; Maturity-onset diabetes of the young; Maturity-onset diabetes of the young type 1; Maturity-onset diabetes of the young type 3; Monogenic diabetes; Neurofibromatosis, type 1; Nonpapillary renal cell carcinoma; Ovarian cancer; Reduced delayed hypersensitivity; SERUM HDL CHOLESTEROL LEVEL, MODIFIER OF; Symphalangism affecting the proximal phalanx of the 4th finger; Type 1 diabetes mellitus 20; Type 2 diabetes mellitus"
HOXB13,"Breast and/or ovarian cancer; Carcinoma of pancreas; Familial prostate cancer; Gastric cancer; HOXB13-Related Cancer Predisposition; HOXB13-related disorder; Hereditary cancer-predisposing syndrome; Prostate cancer; Prostate cancer susceptibility; Prostate cancer, hereditary, 1; Prostate cancer, hereditary, 9"
HPDL,"HPDL-related disorder; Inborn genetic diseases; Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities; Spastic ataxia; Spastic paraplegia; Spastic paraplegia 83, autosomal recessive"
HRAS,"Arteriovenous malformation; COSTELLO SYNDROME, SEVERE; Cardiovascular phenotype; Congenital fibrosis of extraocular muscles; Costello syndrome; EPIDERMAL NEVUS WITH UROTHELIAL CANCER, SOMATIC; Epidermal nevus; Epidermolytic nevus; HRAS-related disorder; Hereditary cancer-predisposing syndrome; Hypophosphatemic rickets; Inborn genetic diseases; Intellectual disability; Intramuscular hemangioma; KA-like vemurafenib-induced squamous lesions; Large congenital melanocytic nevus; Linear nevus sebaceous syndrome; Lip and oral cavity carcinoma; Malignant tumor of urinary bladder; Monogenic short statue; Myopathy, congenital, with excess of muscle spindles; NEVUS SPILUS, SOMATIC; Nevus sebaceous; Non-immune hydrops fetalis; Non-small cell lung carcinoma; Noonan syndrome; Noonan syndrome 1; Noonan syndrome 3; Noonan syndrome and Noonan-related syndrome; Ovarian cancer; Parathyroid gland adenoma; Prostate cancer, hereditary, 1; Pulmonic stenosis; RASopathy; Rhabdomyosarcoma; SPITZ NEVUS, SOMATIC; Salivary gland neoplasm; See cases; Spermatocytic seminoma; Squamous cell lung carcinoma; Supravalvar aortic stenosis; Thyroid cancer, nonmedullary, 2; Vascular Tumors Including Pyogenic Granuloma; Vascular malformation; Wooly hair nevus; cutaneous-skeletal hypophosphatemia syndrome"
HSD3B1,Androgen deprivation therapy response
HSP90AA1,"Malignant hyperthermia, susceptibility to, 1"
ICOSLG,Combined immunodeficiency; Immunodeficiency 119; Inborn genetic diseases
ID3,Hereditary breast ovarian cancer syndrome
IDH1,"Acute myeloid leukemia; Diffuse midline glioma, H3 K27-altered; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Enchondromatosis; Glioblastoma multiforme, somatic; Glioma susceptibility 1; IDH1-related disorder; Lymphoma; Maffucci syndrome; Metaphyseal chondromatosis; Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria; Paroxysmal extreme pain disorder"
IFI30,NA
IFNGR1,"Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency; Disseminated atypical mycobacterial infection; Helicobacter pylori infection, susceptibility to; Hepatitis B virus, susceptibility to; IFN-gamma receptor 1 deficiency; IFNGR1-related disorder; Immunodeficiency 27A; Inborn genetic diseases; Inherited Immunodeficiency Diseases; Interferon gamma receptor deficiency; Mycobacterium tuberculosis, protection against; Mycobacterium tuberculosis, susceptibility to"
IGBP1P2,NA
IGF1R,Craniosynostosis syndrome; Growth delay due to insulin-like growth factor I resistance; IGF1R-related disorder; Inborn genetic diseases; Intellectual disability; Keratoconus; Microcephaly; Monogenic short statue; NK-cell enteropathy; Neurodevelopmental disorder; See cases; Short stature
IGF2,Beckwith-Wiedemann syndrome; Colorectal cancer; EBV-positive nodal T- and NK-cell lymphoma; IGF2-related disorder; INSULIN-LIKE GROWTH FACTOR II POLYMORPHISM; Inborn genetic diseases; See cases; Silver-Russell syndrome 1; Silver-Russell syndrome 3; Wilms tumor 1
IGF2-AS,NA
IGFLR1,NA
IKBKE,Autoimmune connective tissue disease and vasculitis
IKZF1,"Acute lymphoid leukemia; Chronic myelogenous leukemia, BCR-ABL1 positive; Diamond-Blackfan anemia-like; IKZF1-related disorder; Immunodeficiency; Inherited Immunodeficiency Diseases; Leukemia, acute lymphocytic, susceptibility to, 2; Pancytopenia due to IKZF1 mutations; See cases; Teratoma"
IL2RA,IL2RA-related disorder; Immunodeficiency due to CD25 deficiency; Myelodysplasia; Pleural effusion; Type 1 diabetes mellitus 10
IL2RB,IL2RB-related disorder; Ichthyosis; Immunodeficiency 63 with lymphoproliferation and autoimmunity
IL6,".; Cholangiocarcinoma; Crohn disease-associated growth failure, susceptibility to; Diabetes mellitus type 2, susceptibility to; Diabetes mellitus, type 1, susceptibility to; IL6 POLYMORPHISM; IL6-related disorder; Kaposi sarcoma"
IL7R,"Breast neoplasm; Histiocytic medullary reticulosis; IL7R-related disorder; IMMUNODEFICIENCY 104, SEVERE COMBINED, SUSCEPTIBILITY TO; Immunodeficiency 104; Inborn genetic diseases; Multiple myeloma; Multiple sclerosis, susceptibility to, 3; Severe combined immunodeficiency disease; T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency"
INHA,INHA-related disorder; Premature ovarian failure
INPP4A,"Dyskeratosis congenita, autosomal dominant 1; Hypotonia; Intellectual disability; Microcephaly; Neurodevelopmental disorder with growth impairment, quadriparesis, and poor or absent speech; Nystagmus; Pectus excavatum; visual disturbance"
INPP4B,"Hypercholesterolemia, familial, 1"
INPPL1,INPPL1-related disorder; Inborn genetic diseases; Opsismodysplasia
INS-IGF2,NA
INSR,"46,XY disorder of sex development; Bailey-Bloch congenital myopathy; Esophageal atresia; Hyperinsulinism due to INSR deficiency; INSR-related disorder; Inborn genetic diseases; Insulin resistance; Insulin-resistant diabetes mellitus; Insulin-resistant diabetes mellitus AND acanthosis nigricans; Leprechaunism syndrome; Monogenic diabetes; Pyloric stenosis; Rabson-Mendenhall syndrome; See cases; Type 2 diabetes mellitus"
IRF2,NA
IRF4,"IRF4-related disorder; Immunodeficiency 131; SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES; Skin/hair/eye pigmentation, variation in, 8"
IRS1,"IRS1-related disorder; Insulin resistance, susceptibility to; Periventricular heterotopia with microcephaly, autosomal recessive; Type 2 diabetes mellitus"
IRS2,IRS2-related disorder; Type 2 diabetes mellitus
ITGBL1,NA
ITK,Autoimmune lymphoproliferative syndrome type 1; Autoinflammatory syndrome; ITK-related disorder; Inborn genetic diseases; Lymphoproliferative syndrome 1; Vitiligo-associated multiple autoimmune disease susceptibility 1
ITPKA,NA
JAK1,"Acute megakaryoblastic leukemia in down syndrome; Autoinflammation, immune dysregulation, and eosinophilia; Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial jak1 deficiency; Inborn genetic diseases; JAK1-related disorder"
JAK2,"Acquired polycythemia vera; Acute myeloid leukemia; Budd-Chiari syndrome; Budd-Chiari syndrome, susceptibility to, somatic; ERYTHROCYTOSIS, JAK2-RELATED, SOMATIC; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Inborn genetic diseases; Inherited susceptibility to asthma; JAK2-related disorder; Myeloproliferative disorder; Polycythemia; Premature ovarian failure; Primary familial polycythemia due to EPO receptor mutation; Primary myelofibrosis; SMALL ROUND CELL TUMOR; See cases; Splenomegaly; Thrombocythemia 3"
JAK3,"Hereditary spastic paraplegia; Inborn genetic diseases; JAK3-related disorder; NK-cell enteropathy; Severe combined immunodeficiency disease; Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency; Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive; Susceptibility to severe COVID-19; T-B+ severe combined immunodeficiency due to JAK3 deficiency"
JUN,Breast neoplasm
KAT6A,Absent or delayed speech development; Autism spectrum disorder; Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome; Borderline microcephaly; Congenital heart disease; Craniosynostosis syndrome; Developmental delay; Global developmental delay; History of neurodevelopmental disorder; Inborn genetic diseases; Intellectual disability; KAT6A-related disorder; KAT6A-related neurodevelopmental disorder with multiple anomalies; Neurodevelopmental abnormality; Neurodevelopmental disorder; See cases; Syndromic intellectual disability; Vein of Galen aneurysmal malformation
KCNJ5,"Aldosterone-producing adrenal adenoma, somatic; Andersen Tawil syndrome; Cardiovascular phenotype; Familial hyperaldosteronism type III; Hypertrophic cardiomyopathy; KCNJ5-related disorder; Long QT syndrome; Long QT syndrome 13; Primary dilated cardiomyopathy; See cases"
KCNK12,NA
KDM5A,El Hayek-Chahrour neurodevelopmental disorder; Intellectual disability; KDM5A-associated neurodevelopmental syndrome; KDM5A-related Neurodevelopmental disorder with autism; KDM5A-related disorder; See cases; Seizure
KDM5C,Developmental disorder; Hirsutism; Inborn genetic diseases; Intellectual disability; KDM5C-related X-linked syndromic intellectual disability; KDM5C-related disorder; Kabuki syndrome; Multiple myeloma; Neurodevelopmental disorder; Rare genetic intellectual disability; See cases; Smith-Magenis Syndrome-like; Spastic paraplegia; Syndromic X-linked intellectual disability Claes-Jensen type; X-linked syndromic intellectual disability
KDM6A,"Anemia; Autism spectrum disorder; CHARGE syndrome; Inborn genetic diseases; Intellectual disability; KDM6A-related disorder; Kabuki Syndrome - KDM6A; Kabuki syndrome 1; Kabuki syndrome 2; Malignant tumor of urinary bladder; Multiple congenital anomalies/dysmorphic syndrome; Neurodevelopmental disorder; Peripheral precocious puberty; Primary dilated cardiomyopathy; Prostate cancer; See cases; Tremor, hereditary essential, 6"
KDR,"Capillary infantile hemangioma; Carcinoma of colon; Hepatoblastoma; High myopia; Hirschsprung disease, susceptibility to, 1; KDR-related disorder; Premature ovarian failure; Prostate cancer; Teratoma; Tetralogy of Fallot; Tufted angioma of skin"
KEAP1,NA
KEL,KEL-related disorder; KELL K/k BLOOD GROUP POLYMORPHISM; KELL-NULL PHENOTYPE; Kel6 antigen; Kell blood group system; Vein of Galen aneurysmal malformation; Vein of Galen arteriovenous malformations
KIAA0907,NA
KIT,"Acute myeloid leukemia; Autosomal dominant KIT-related disorders; B Lymphoblastic Leukemia/Lymphoma with t(v%3B11q23.3)%3B KMT2A Rearranged; Cutaneous mastocytosis; Dysgerminoma; EBV-positive nodal T- and NK-cell lymphoma; Gastrointestinal stromal tumor; Gastrointestinal stromal tumor, familial; Germ cell tumor of testis; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary skin disorder; KIT-related disorder; Lip and oral cavity carcinoma; MAST CELL LEUKEMIA, SOMATIC; MASTOCYTOSIS WITH ASSOCIATED HEMATOLOGIC DISORDER, SOMATIC; MASTOCYTOSIS, CUTANEOUS AND SYSTEMIC, SOMATIC; MASTOCYTOSIS, SYSTEMIC, SOMATIC; Malignant tumor of testis; Mastocytosis; Ovarian cancer; Piebaldism; Piebaldism with sensorineural deafness; Piebaldism, progressive; Regorafenib response; Schizophrenia; See cases; Squamous cell lung carcinoma; Systemic mast cell disease"
KLC3,NA
KLF4,KLF4-related disorder
KLHL6,Monoclonal B-Cell Lymphocytosis
KMT2A,Atypical behavior; Autism spectrum disorder; Bilateral ptosis; Cornelia de Lange syndrome 1; Developmental disorder; Hirsutism; Inborn genetic diseases; Intellectual disability; KMT2A-related disorder; Kabuki syndrome 1; Language disorder; Microcephaly; Neurodevelopmental delay; Neurodevelopmental disorder; Rare genetic intellectual disability; Rubinstein Taybi like syndrome; See cases; Wiedemann-Steiner syndrome; intellectual deficiency
KMT2B,"Abnormality of metabolism/homeostasis; Autism; Autism spectrum disorder; Castleman-Kojima disease; Complex neurodevelopmental disorder with motor features; Dysarthria; Dystonia 28, childhood-onset; Dystonia, early-onset, and/or spastic paraplegia; Dystonic disorder; Epilepsy, idiopathic generalized, susceptibility to, 5; Generalized dystonia; Global developmental delay; Inborn genetic diseases; Intellectual developmental disorder, autosomal dominant 68; Intellectual disability; KMT2B-related disorder; Kabuki syndrome 1; Myoclonus; Paediatric disorders; Poor motor coordination; Rare genetic intellectual disability; See cases; Specific learning disability"
KMT2C,"Autism spectrum disorder; Autism, susceptiblity to; Cerebellar atrophy; Developmental and epileptic encephalopathy 92; Dystonia, early-onset, and/or spastic paraplegia; Global developmental delay; Inborn genetic diseases; Intellectual disability; KMT2C-related NDD; KMT2C-related disorder; Kleefstra syndrome; Kleefstra syndrome 1; Kleefstra syndrome 2; Kleefstra syndrome due to a point mutation; Microcephaly; Multiple myeloma; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Rare genetic intellectual disability; See cases; Syndromic intellectual disability; Tip-toe gait; atypical cerebral palsy"
KMT2D,"Abnormal pinna morphology; Abnormality of the nervous system; Amblyopia; Astrocytoma; Autism; Autism spectrum disorder; Autism spectrum disorder due to AUTS2 deficiency; Branchial cleft anomaly; CHARGE syndrome; Choanal atresia; Choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome; Complement component C1s deficiency; Congenital anomaly of kidney and urinary tract; Congenital heart disease; Connective tissue nevi; Dandy-Walker syndrome; Dystonia, early-onset, and/or spastic paraplegia; Eccrine porocarcinoma; Familial thoracic aortic aneurysm and aortic dissection; Fetal anomalies with a likely genetic cause; Inborn genetic diseases; Intellectual disability; KMT2D-related disorder; Kabuki syndrome; Kabuki syndrome 1; Left ventricular noncompaction; Lung cancer; Lymphoma; Male infertility with spermatogenesis disorder; Microcephaly; Microtia; Multiple myeloma; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Rare genetic intellectual disability; Rubinstein Taybi like syndrome; See cases; Seizure; Smith-Magenis Syndrome-like; Stenosis of the external auditory canal; Strabismus; VISS syndrome; Vein of Galen aneurysmal malformation"
KMT5A,EBV-positive nodal T- and NK-cell lymphoma; Prostate cancer
KRAS,"Acute myeloid leukemia; Atypical endometrial hyperplasia; Autoimmune lymphoproliferative syndrome type 4; Bladder cancer, transitional cell, somatic; Breast adenocarcinoma; Capillary Telangiectasia, Brain; Capillary malformation-arteriovenous malformation 1; Carcinoma of pancreas; Cardio-facio-cutaneous syndrome; Cardiofaciocutaneous syndrome 1; Cardiofaciocutaneous syndrome 2; Cardiovascular phenotype; Cerebral arteriovenous malformation; Chronic myelogenous leukemia, BCR-ABL1 positive; Classic Hodgkin lymphoma; Colorectal cancer; Congenital Pulmonary Airway Malformations; Encephalocraniocutaneous lipomatosis; Endometrial carcinoma; Endometrial hyperplasia without atypia; Epidermal nevus; Familial cancer of breast; Familial pancreatic carcinoma; Fetal anomalies with a likely genetic cause; Gallbladder cancer; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary diffuse gastric adenocarcinoma; Inborn genetic diseases; Juvenile myelomonocytic leukemia; KRAS-related RASopathy; KRAS-related disorder; Linear nevus sebaceous syndrome; Lung adenocarcinoma; Lung cancer; Lung carcinoma; Lung sarcomatoid carcinoma; Malignant tumor of urinary bladder; Mosaic KRAS-related syndrome; Multiple myeloma; Nevus sebaceous; Non-immune hydrops fetalis; Non-small cell lung carcinoma; Noonan syndrome; Noonan syndrome 1; Noonan syndrome 3; Noonan syndrome and Noonan-related syndrome; OCULOECTODERMAL SYNDROME, SOMATIC; Ovarian neoplasm; Pilocytic astrocytoma; Primary familial hypertrophic cardiomyopathy; Primary low grade serous adenocarcinoma of ovary; Prostate cancer, hereditary, 1; RASopathy; Sarcoma; See cases; Squamous cell lung carcinoma; Teratoma; Thyroid cancer, nonmedullary, 1; Toriello-Lacassie-Droste syndrome; Vascular Tumors Including Pyogenic Granuloma; Vascular malformation; Venous malformation"
LATS1,Ependymoma; Malignant peritoneal mesothelioma; Multiple myeloma; Myoepithelial tumor; Teratoma
LATS2,Malignant peritoneal mesothelioma
LIMK1,High myopia; LIMK1-related disorder; See cases; Undetermined early-onset epileptic encephalopathy
LINC00094,NA
LINC00938,NA
LINC01135,NA
LINC01391,NA
LMO1,"LMO1 POLYMORPHISM; LMO1-related disorder; Neuroblastoma, susceptibility to, 7"
LOC100131635,NA
LOC100996325,NA
LOC100996583,NA
LOC101927770,NA
LOC101927932,NA
LOC101928103,NA
LOC101929626,NA
LOC102723824,NA
LOC105373383,NA
LOC110117498-PIK3R3,NA
LOC115110,NA
LOC541472,NA
LOC646626,NA
LRP1B,EBV-positive nodal T- and NK-cell lymphoma; High myopia; Inborn genetic diseases; LRP1B-associated developmental disorder; LRP1B-related disorder; Malignant neoplastic disease; Preeclampsia; Prostate cancer
LRP2,"Cardiac, facial, and digital anomalies with developmental delay; Congenital heart disease; DSD incomplete virilization; Donnai-Barrow syndrome; Hearing impairment; Hearing loss and Retinal dystrophy; High myopia; Inborn genetic diseases; Intellectual disability; LRP2-related disorder; Non-syndromic syndactyly; Prolactin-producing pituitary gland adenoma; Retinal dystrophy; Stickler syndrome"
LRRC14,NA
LRRC24,NA
LRRC41,NA
LRRC56,"Ciliary dyskinesia, primary, 39; Kartagener syndrome; LRRC56-related disorder; Respiratory ciliopathies including non-CF bronchiectasis"
LTK,NA
MAP2K2,Abnormal facial shape; Cardio-facio-cutaneous syndrome; Cardiofaciocutaneous syndrome 1; Cardiofaciocutaneous syndrome 4; Cardiovascular phenotype; Castleman-Kojima disease; High palate; Hypertrophic cardiomyopathy; Hypotension; MAP2K2-related disorder; Malar flattening; Migraine; Mitral valve prolapse; Neurofibromatosis-Noonan syndrome; Noonan syndrome; Noonan syndrome 1; Noonan syndrome and Noonan-related syndrome; Noonan syndrome with multiple lentigines; Pain; RASopathy; Short stature; Smith-Magenis Syndrome-like; Thin skin
MAP2K7,Neuroblastoma
MAP3K1,"46,XY sex reversal 6; Anophthalmia-microphthalmia syndrome; Differences in sex development; Disorder of sexual differentiation; Hearing impairment; Hearing loss; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; MAP3K1-related disorder; Ovarian neoplasm; See cases"
MAP3K13,NA
MAP3K14,Immunodeficiency 112; MAP3K14-related disorder; NIK deficiency
MAP3K14-AS1,NA
MAP4K2,NA
MAST3,Developmental and epileptic encephalopathy; Developmental and epileptic encephalopathy 108; Inborn genetic diseases; MAST3-related disorder; Neurodevelopmental disorder; Pervasive developmental disorder
MAX,"Hereditary cancer-predisposing syndrome; Hereditary pheochromocytoma and paraganglioma; MAX-associated Macrocephaly and Polydactyly syndrome; MAX-related disorder; Pheochromocytoma; Pheochromocytoma, susceptibility to; Polydactyly-macrocephaly syndrome; Retinoblastoma"
MCL1,High myopia
MDC1,Oligoasthenoteratozoospermia
MDC1-AS1,NA
MDM4,Bone marrow failure syndrome 6; MDM4-related disorder; Pfeiffer syndrome
MED12,"Abnormal facial shape; Absent speech; Angiosarcoma; Blepharophimosis - intellectual disability syndrome, MKB type; Broad thumb; Cardiovascular phenotype; Cholestasis-pigmentary retinopathy-cleft palate syndrome; Congenital anomaly of kidney and urinary tract; Corpus callosum, agenesis of; Dilated cardiomyopathy 1Y; Ehlers-Danlos syndrome, classic type; Expressive language delay; FG syndrome; FG syndrome 1; Familial thoracic aortic aneurysm and aortic dissection; Glioblastoma; Global developmental delay; History of neurodevelopmental disorder; Imperforate anus; Inborn genetic diseases; Intellectual disability; MED12-Related Disorders; MED12-related intellectual disability syndrome; MED12-related neurodevelopmental delay; Microcephaly; Nephroblastoma; Neurodevelopmental delay; Neurodevelopmental disorder; Nonspecific Intellectual Disability; See cases; Seizure; Simpson-Golabi-Behmel syndrome type 1; Syndromic intellectual disability; Uterine leiomyoma; Ventriculomegaly; Wilms tumor 1; X-linked MED12-related disorder; X-linked MED12-related disorders; X-linked intellectual disability with marfanoid habitus"
MEF2B,NA
