Gene,Diseases
BARD1,"Autosomal dominant BARD1-related disorders; BARD1-related cancer predisposition; BARD1-related disorder; Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 2; Carcinoma of colon; Endometrial carcinoma; Familial adenomatous polyposis 2; Familial cancer of breast; Familial ovarian cancer; Familial pancreatic carcinoma; Gastric cancer; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Lung cancer; Malignant tumor of breast; Malignant tumor of thyroid gland; Multiple myeloma; Ovarian cancer; Ovarian neoplasm; Triple-Negative Breast Cancer Finding"
BBC3,NA
BCL10,"BCL10-related disorder; Carcinoma of colon; Follicular lymphoma; Germ cell tumor of testis; Immunodeficiency 37; Inborn genetic diseases; Lymphoma, non-Hodgkin, familial; MALE GERM CELL TUMOR, SOMATIC; Malignant tumor of testis; Mesothelioma; Mesothelioma, malignant; Mucosa-associated lymphoma; Sezary syndrome; T-cell acute lymphoblastic leukemia; Van Maldergem syndrome 2"
BCL2,BCL2-related disorder
BCL2L2,NA
BCL2L2-PABPN1,NA
BCL6,NA
BCOR,"Abnormal brain morphology; Acute myeloid leukemia; Anterior segment dysgenesis 8; BCOR-related disorder; Brachycephaly; Congenital anomaly of kidney and urinary tract; Congenital cerebellar hypoplasia; Corpus callosum, agenesis of; Developmental cataract; Glioblastoma; History of neurodevelopmental disorder; Inborn genetic diseases; Intellectual disability; Isolated anophthalmia-microphthalmia syndrome; Microcephaly; Microphthalmia, syndromic 1; Mild fetal ventriculomegaly; Oculofaciocardiodental syndrome; Oculofaciocardiodental syndrome (OFCD); X-linked BCOR-related disorders; sellar metastasis from primary bronchial carcinoid tumor"
BCORL1,BCORL1-related disorder; Global developmental delay; Intellectual disability; Multiple myeloma; Neurodevelopmental delay; Neurodevelopmental disorder; Oligoasthenoteratozoospermia; See cases; Shukla-Vernon syndrome
BCR,"Acute lymphoid leukemia; Chronic myelogenous leukemia, BCR-ABL1 positive"
BIRC3,Regional enteritis
BIRC5,EBV-positive nodal T- and NK-cell lymphoma
BIVM-ERCC5,NA
BLK,BLK-related disorder; Maturity-onset diabetes of the young type 11; Monogenic diabetes; Systemic lupus erythematosus
BLM,BLM-related disorder; Bloom syndrome; Colorectal cancer; Endometrial carcinoma; Familial cancer of breast; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary disease; Microcephaly; Olaparib response; Ovarian cancer; See cases
BORCS8-MEF2B,"Neurodegeneration, infantile-onset, with optic atrophy and brain abnormalities"
BRAF,"Astrocytoma, low-grade, somatic; Ataxia-telangiectasia syndrome; BRAF-related disorder; BRAF-related spectrum disorder; Carcinoma of colon; Cardio-facio-cutaneous syndrome; Cardiofaciocutaneous syndrome 1; Cardiomyopathy; Cardiovascular phenotype; Cerebral arteriovenous malformation; Childhood ganglioglioma; Colorectal cancer; Congenital long QT syndrome; Costello syndrome; Cystic epithelial invagination containing papillae lined by columnar epithelium; Dabrafenib response; Dandy-Walker syndrome; Diffuse midline glioma, H3 K27-altered; Downslanted palpebral fissures; Endometrial carcinoma; Epidermal nevus; Familial cardiofaciocutaneous syndrome; Gallbladder cancer; Genetic syndrome with a Dandy-Walker malformation as major feature; Global developmental delay; High forehead; Hypertrophic cardiomyopathy; Hypertrophic cardiomyopathy 4; Inborn genetic diseases; Intellectual disability; LEOPARD syndrome 3; Lip and oral cavity carcinoma; Low-set, posteriorly rotated ears; Lung adenocarcinoma; Lung cancer; Lung carcinoma; Lymphangioma; Lymphatic malformation; Malignant lymphoma, large B-cell, diffuse; Malignant neoplastic disease; Melanoma; Melanoma, cutaneous malignant, susceptibility to, 1; Multiple congenital anomalies/dysmorphic syndrome; Multiple myeloma; Myoepithelial tumor; Neonatal respiratory distress; Neoplasm of the large intestine; Nephroblastoma; Neurodevelopmental delay; Non-Hodgkin lymphoma; Non-small cell lung carcinoma; Nongerminomatous germ cell tumor; Noonan syndrome; Noonan syndrome 1; Noonan syndrome 7; Noonan syndrome and Noonan-related syndrome; Noonan syndrome with multiple lentigines; PHACE syndrome; Papillary thyroid carcinoma; Premature birth; Primary dilated cardiomyopathy; Prostate cancer, hereditary, 1; Pulmonic stenosis; RASopathy; See cases; Tethered cord; Thyroid cancer, nonmedullary, 2; Vascular malformation; Ventricular hypertrophy; Ventricular septal defect; Von Hippel-Lindau syndrome; Webbed neck; Wide intermamillary distance"
